EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOR_F_SCALE
5579887,MINNESOTA,1996,November,Heavy Snow,Z,RAMSEY,0,0,0,0,,,
5579888,MINNESOTA,1996,November,Heavy Snow,Z,WASHINGTON,0,0,0,0,,,
5579923,MINNESOTA,1996,November,Heavy Snow,Z,MCLEOD,0,0,0,0,,,
5579924,MINNESOTA,1996,November,Heavy Snow,Z,SIBLEY,0,0,0,0,,,
5576024,NEW YORK,1996,December,Winter Storm,Z,EASTERN RENSSELAER,0,0,0,0,10K,,
5575885,COLORADO,1996,December,Winter Storm,Z,FOUR CORNERS / UPPER DOLORES RIVER BASIN,0,0,0,0,,,
5575886,COLORADO,1996,December,Winter Storm,Z,ANIMAS RIVER BASIN,0,0,0,0,,,
5577216,WASHINGTON,1996,December,Ice Storm,Z,SOUTHWEST INTERIOR,0,0,0,0,,,
5577217,WASHINGTON,1996,December,Heavy Snow,Z,SEATTLE METROPOLITAN AREA,0,0,0,0,,,
5576883,CALIFORNIA,1996,December,High Wind,Z,RIVERSIDE COUNTY MOUNTAINS,0,0,0,0,,,
5579393,TEXAS,1996,December,Winter Weather,Z,MONTAGUE,0,0,0,0,,,
5578969,TEXAS,1996,December,High Wind,Z,HARRISON,0,0,0,0,,,
5578970,TEXAS,1996,December,Winter Storm,Z,WOOD,0,0,0,0,,,
5580927,NORTH CAROLINA,1996,November,Thunderstorm Wind,C,ROCKINGHAM,0,0,0,0,10K,,
5580928,VIRGINIA,1996,November,Thunderstorm Wind,C,HENRY,1,0,0,0,.4M,,
5580929,VIRGINIA,1996,November,Thunderstorm Wind,C,HENRY,1,0,0,0,.25M,,
5580930,VIRGINIA,1996,November,Thunderstorm Wind,C,PITTSYLVANIA,0,0,0,0,10K,,
5580936,LOUISIANA,1996,November,Coastal Flood,C,CAMERON,0,0,0,0,.1M,,
5580937,LOUISIANA,1996,November,Flash Flood,C,JEFFERSON DAVIS,0,0,0,0,25K,,
5580938,TEXAS,1996,November,Hail,C,HARDIN,0,0,0,0,,,
5581998,NEBRASKA,1996,November,Winter Storm,Z,HOLT,0,0,0,0,,,
5581999,NEBRASKA,1996,November,Winter Storm,Z,GARDEN,0,0,0,0,,,
5582000,NEBRASKA,1996,November,Winter Storm,Z,GRANT,0,0,0,0,,,
5584494,RHODE ISLAND,1996,December,Strong Wind,Z,NEWPORT,0,0,0,0,,,
5584495,RHODE ISLAND,1996,December,Strong Wind,Z,WASHINGTON,0,0,0,0,,,
5584496,RHODE ISLAND,1996,December,Heavy Snow,Z,NORTHWEST PROVIDENCE,0,0,0,0,,,
5584140,VERMONT,1996,December,Flood,Z,LAMOILLE,0,0,0,0,15K,,
5583464,HAWAII,1996,December,High Surf,Z,MAUI,0,0,0,0,,,
5584142,VERMONT,1996,December,Flood,Z,WASHINGTON,0,0,0,0,15K,,
5580810,IOWA,1996,December,Winter Storm,Z,LINN,0,0,0,0,,,
5581051,TEXAS,1996,December,Drought,Z,MEDINA,0,0,0,0,,,
5581221,TEXAS,1996,December,Drought,Z,KARNES,0,0,0,0,,,
5579236,ALASKA,1996,December,High Wind,Z,WESTERN ALASKA PENINSULA,0,0,0,0,,,
5579262,NEW YORK,1996,December,Thunderstorm Wind,C,GENESEE,0,0,0,0,20K,,
5583670,WISCONSIN,1996,December,Heavy Snow,Z,IRON,0,0,0,0,,,
5575857,COLORADO,1996,December,Winter Storm,Z,SAN JUAN RIVER BASIN,0,0,0,0,,,
5575858,COLORADO,1996,December,Winter Storm,Z,ELKHEAD AND PARK MOUNTAINS/FLAT TOPS/WHITE RIVER PLATEAU,0,0,0,0,,,
5575859,COLORADO,1996,December,Winter Storm,Z,GRAND AND BATTLEMENT MESAS,0,0,0,0,,,
5575860,COLORADO,1996,December,Winter Storm,Z,GORE AND ELK MOUNTAINS/CENTRAL MOUNTAIN VALLEYS/ASPEN AND VICINITY,0,0,0,0,,,
5575861,COLORADO,1996,December,Winter Storm,Z,WEST ELK AND SAWATCH MOUNTAINS/TAYLOR PARK,0,0,0,0,,,
5575862,COLORADO,1996,December,Winter Storm,Z,UNCOMPAHGRE PLATEAU,0,0,0,0,,,
5575863,COLORADO,1996,December,Winter Storm,Z,NORTHWESTERN SAN JUAN MOUNTAINS,0,0,0,0,,,
5575895,COLORADO,1996,December,Heavy Snow,Z,WEST ELK AND SAWATCH MOUNTAINS/TAYLOR PARK,0,0,0,0,,,
5575896,COLORADO,1996,December,Heavy Snow,Z,NORTHWESTERN SAN JUAN MOUNTAINS,0,0,0,0,,,
5575897,COLORADO,1996,December,Heavy Snow,Z,SOUTHWESTERN SAN JUAN MOUNTAINS,0,0,0,0,,,
5575898,SOUTH DAKOTA,1996,December,Heavy Snow,Z,BEADLE,0,0,0,0,,,
5575899,SOUTH DAKOTA,1996,December,Heavy Snow,Z,KINGSBURY,0,0,0,0,5K,,
5581760,TENNESSEE,1996,December,Winter Storm,Z,HANCOCK,0,0,0,0,,,
5581785,WISCONSIN,1996,December,Heavy Snow,Z,MARQUETTE,0,0,0,0,,,
5581786,WISCONSIN,1996,December,Heavy Snow,Z,GREEN LAKE,0,0,0,0,,,
5581787,WISCONSIN,1996,December,Heavy Snow,Z,SAUK,0,0,0,0,,,
5581346,MICHIGAN,1996,December,Heavy Snow,Z,WASHTENAW,0,0,0,0,,,
5580812,IOWA,1996,December,Winter Storm,Z,JACKSON,0,0,0,0,,,
5580813,IOWA,1996,December,Winter Storm,Z,IOWA,0,0,0,0,,,
5581196,MICHIGAN,1996,November,Heavy Snow,Z,MUSKEGON,0,0,0,0,,,
5581197,MICHIGAN,1996,November,Heavy Snow,Z,KALAMAZOO,0,0,0,0,,,
5580797,MONTANA,1996,November,Winter Storm,Z,CHOUTEAU,0,0,0,0,,,
5575929,NORTH DAKOTA,1996,December,Cold/Wind Chill,Z,BARNES,0,0,0,0,,,
5578971,TEXAS,1996,December,Winter Storm,Z,UPSHUR,0,0,0,0,,,
5578972,TEXAS,1996,December,Winter Storm,Z,SMITH,0,0,0,0,,,
5579254,ALASKA,1996,December,High Wind,Z,HAINES BOROUGH AND LYNN CANAL,0,0,0,0,,,
5579255,ALASKA,1996,December,High Wind,Z,EASTERN ALEUTIANS,0,0,0,0,,,
5579256,ALASKA,1996,December,High Wind,Z,EASTERN CHICHAGOF ISLAND,0,0,0,0,,,
5579257,ALASKA,1996,December,High Wind,Z,GLACIER BAY,0,0,0,0,,,
5579195,COLORADO,1996,November,Winter Storm,Z,ELKHEAD AND PARK MOUNTAINS/FLAT TOPS/WHITE RIVER PLATEAU / E RIO BLANCO / NE GARFIELD / X NW EAGLE / ROUTT EXCEPT C XS,0,0,0,0,,,
5584276,VERMONT,1996,December,Winter Weather,Z,WESTERN RUTLAND,0,0,0,0,5K,,
5584277,VERMONT,1996,December,Winter Weather,Z,WINDSOR,0,0,0,0,5K,,
5584141,VERMONT,1996,December,Flood,Z,ORLEANS,0,0,0,0,10K,,
5583473,HAWAII,1996,December,High Surf,Z,KAUAI,0,0,0,0,,,
5583474,HAWAII,1996,December,High Surf,Z,MAUI,0,0,0,0,,,
5581466,ILLINOIS,1996,November,Winter Storm,Z,BOND,0,0,0,0,,,
5579267,NEW YORK,1996,December,Heavy Snow,Z,CHAUTAUQUA,0,0,0,0,10K,,
5579268,NEW YORK,1996,December,Heavy Snow,Z,NORTHERN ERIE,0,0,0,0,15K,,
5579947,IDAHO,1996,December,Heavy Snow,Z,IDAHO PALOUSE,0,0,0,0,,,
5584325,MASSACHUSETTS,1996,December,Strong Wind,Z,SOUTHERN BRISTOL,0,0,0,0,,,
5584485,MASSACHUSETTS,1996,December,Strong Wind,Z,WESTERN HAMPDEN,0,0,0,0,,,
5584486,MASSACHUSETTS,1996,December,Strong Wind,Z,WESTERN HAMPSHIRE,0,0,0,0,,,
5569031,OHIO,1996,December,Thunderstorm Wind,C,VAN WERT,0,0,0,0,25K,,
5569032,OHIO,1996,December,Flash Flood,C,BUTLER,0,0,0,0,,,
5575911,MINNESOTA,1996,December,Blizzard,Z,EAST POLK,0,0,0,0,,,
5575912,MINNESOTA,1996,December,Blizzard,Z,MAHNOMEN,0,0,0,0,,,
5567063,NORTH DAKOTA,1996,October,Winter Storm,Z,HETTINGER,0,0,0,0,,,
5581243,ILLINOIS,1996,December,Winter Storm,Z,WILLIAMSON,0,0,0,0,,,
5569440,SOUTH DAKOTA,1996,October,Lightning,C,SPINK,0,0,0,0,,,
5583837,MAINE,1996,October,Flash Flood,C,CUMBERLAND,0,0,1,0,14.98M,,
5582522,TEXAS,1996,November,Hail,C,REAGAN,0,0,0,0,,,
5582523,TEXAS,1996,November,Hail,C,PECOS,0,0,0,0,,,
5581157,TEXAS,1996,November,Thunderstorm Wind,C,GREGG,0,0,0,0,,,
5581158,TEXAS,1996,November,Thunderstorm Wind,C,CASS,0,0,0,0,,,
5581159,TEXAS,1996,November,Thunderstorm Wind,C,GREGG,0,0,0,0,,,
5581160,TEXAS,1996,November,Thunderstorm Wind,C,NACOGDOCHES,0,0,0,0,2K,,
5581161,TEXAS,1996,November,Thunderstorm Wind,C,ANGELINA,0,0,0,0,3K,,
5581192,MICHIGAN,1996,November,Heavy Snow,Z,MASON,0,0,0,0,,,
5581134,LOUISIANA,1996,November,Thunderstorm Wind,C,BOSSIER,0,0,0,0,30K,,
5581135,LOUISIANA,1996,November,Thunderstorm Wind,C,BOSSIER,0,0,0,0,,,
5581764,TENNESSEE,1996,December,Winter Storm,Z,UNICOI,0,0,0,0,,,
5582931,UTAH,1996,December,Winter Storm,Z,SALT LAKE AND TOOLE VALLEYS,30,0,0,0,1M,,
5584143,VERMONT,1996,December,Flood,Z,WESTERN ADDISON,0,0,0,0,10K,,
5584272,VERMONT,1996,December,Winter Weather,Z,CALEDONIA,0,0,0,0,5K,,
5575714,MINNESOTA,1996,November,Cold/Wind Chill,Z,WILKIN,0,0,0,0,,,
5575715,MINNESOTA,1996,November,Cold/Wind Chill,Z,WEST OTTER TAIL,0,0,0,0,,,
5575716,MINNESOTA,1996,November,Cold/Wind Chill,Z,EAST OTTER TAIL,0,0,0,0,,,
5575717,MINNESOTA,1996,November,Cold/Wind Chill,Z,WADENA,0,0,0,0,,,
5575718,MINNESOTA,1996,November,Cold/Wind Chill,Z,GRANT,0,0,0,0,,,
5575681,NORTH DAKOTA,1996,November,Cold/Wind Chill,Z,BENSON,0,0,0,0,,,
5575682,NORTH DAKOTA,1996,November,Cold/Wind Chill,Z,RAMSEY,0,0,0,0,,,
5577236,WASHINGTON,1996,December,Heavy Snow,Z,CENTRAL CASCADE FOOTHILLS,0,0,0,0,,,
5577776,MISSISSIPPI,1996,December,Heavy Snow,Z,HARRISON,0,0,0,0,,,
5577504,ARKANSAS,1996,December,Thunderstorm Wind,C,WHITE,0,0,0,0,,,
5577505,ARKANSAS,1996,December,Thunderstorm Wind,C,JACKSON,0,0,0,0,,,
5582932,UTAH,1996,December,Winter Storm,Z,GREAT SALT LAKE DESERT AND MOUNTAINS/WENDOVER/SNOWVILLE,0,0,0,0,,,
5575872,COLORADO,1996,December,Winter Storm,Z,ELKHEAD AND PARK MOUNTAINS/FLAT TOPS/WHITE RIVER PLATEAU,0,0,0,0,,,
5576958,NEW JERSEY,1996,December,Heavy Rain,Z,BURLINGTON,0,0,0,0,,,
